theme,kind,title,authors,venue,year,url
Housing and Urban Life,Journal Article,Paternalistic State Care: COVID-19 pandemic governance in Jakarta's rental social housing,Clara Siagian,Cities,2024,https://doi.org/10.1016/j.cities.2024.105031
Housing and Urban Life,Book Chapter,Housing at an impasse: Living in a state of protracted transit in rental social housing in Jakarta (in Governing Urban Indonesia ed. Aspinall & Savirani),Clara Siagian,ISEAS-Singapore,2024,https://doi.org/10.1355/9789815203738-006
Housing and Urban Life,Journal Article,Unravelled Homes: Forced evictions and home remaking in Jakarta,"Clara Siagian, Ariane Utomo, Kamil Muhammad, Brian Cook",International Journal of Urban and Regional Research,2023,https://doi.org/10.1111/1468-2427.13170
Children Youth and Family,Edited Volume,Early Childhood Development: Critical Perspectives on a Global Movement,"editors: Francesca Mezzenzzana, Gabriel Scheidecker, Clara Siagian",Oxford University Press,forthcoming,
Children and Youth,Book Chapter,Informality against children? Questioning the urban rationalization project and its impact on children wellbeing,Clara Siagian,Oxford University Press,forthcoming,
Children and Youth,Journal Article,"Children during the COVID-19 pandemic: children and young people's vulnerability and wellbeing in Indonesia","Santi Kusumaningrum, Clara Siagian, Harriot Beazley",Children's Geographies,2021,https://doi.org/10.1080/14733285.2021.1900544
Children and Youth,Journal Article,Towards child-inclusive concepts of childhood poverty,"Sharon Bessell, Clara Siagian, Angie Bexley",Children and Youth Services Review,2020,https://doi.org/10.1016/j.childyouth.2020.105118
Children and Youth,Book,A Child's Growth Is a Nation's Growth: Children's Wellbeing and Inequality in Indonesia,"Santi Kusumaningrum, Arianto Patunru, Clara Siagian, Cyril Bennouna",,2020,https://press.uchicago.edu/ucp/books/book/distributed/G/bo86430916.html
Children and Youth,Journal Article,"Supporting Children, Blaming Parents: Frontliners' Perception of Childhood Adversity and Parenthood in Indonesia","Clara Siagian, Sandra Arifani, Putri Kusuma Amanda, Santi Kusumaningrum",Social Sciences,2019,https://doi.org/10.3390/socsci8020064
Children and Youth,Journal Article,Strategic yet Delicate: The Dilemma of Involving Health Workers in Facilitating Birth Registration in Indonesia,"Clara Siagian, Wenny Wandasari, Feri Sahputra, Santi Kusumaningrum",BMC Health Services Research,2019,https://doi.org/10.1186/s12913-019-4594-z
